1.000	0.011	0.003	0.000	0.000	0.016	0.007	0.001	0.000	0.033	0.016	0.003	0.001	0.039	0.022	0.006	0.001
1.050	0.017	0.006	0.000	0.000	0.024	0.011	0.002	0.000	0.048	0.024	0.005	0.001	0.056	0.032	0.009	0.002
1.100	0.028	0.009	0.001	0.000	0.036	0.016	0.003	0.000	0.072	0.036	0.008	0.001	0.081	0.046	0.013	0.003
1.150	0.045	0.015	0.001	0.000	0.055	0.025	0.004	0.001	0.108	0.054	0.011	0.002	0.117	0.067	0.019	0.004
1.200	0.073	0.024	0.002	0.000	0.084	0.038	0.006	0.001	0.161	0.081	0.017	0.003	0.165	0.095	0.027	0.006
1.250	0.118	0.039	0.004	0.000	0.130	0.059	0.010	0.001	0.239	0.120	0.025	0.004	0.228	0.131	0.038	0.008
1.300	0.192	0.064	0.006	0.001	0.201	0.091	0.015	0.002	0.350	0.177	0.038	0.006	0.306	0.178	0.052	0.011
1.350	0.313	0.106	0.010	0.001	0.312	0.142	0.024	0.003	0.502	0.256	0.055	0.009	0.400	0.234	0.069	0.015
1.400	0.514	0.175	0.017	0.002	0.481	0.221	0.038	0.005	0.701	0.361	0.080	0.013	0.507	0.299	0.090	0.020
1.450	0.845	0.292	0.029	0.003	0.735	0.341	0.059	0.008	0.948	0.493	0.111	0.019	0.624	0.372	0.115	0.026
1.500	1.395	0.490	0.051	0.006	1.104	0.517	0.091	0.013	1.237	0.652	0.151	0.026	0.749	0.451	0.143	0.033
1.550	2.301	0.825	0.089	0.010	1.614	0.765	0.139	0.020	1.559	0.834	0.200	0.035	0.878	0.535	0.174	0.041
1.600	3.776	1.389	0.156	0.019	2.279	1.097	0.206	0.031	1.898	1.031	0.256	0.046	1.008	0.621	0.207	0.050
1.650	6.119	2.319	0.274	0.034	3.085	1.513	0.295	0.045	2.236	1.234	0.318	0.060	1.133	0.707	0.242	0.061
1.700	9.649	3.786	0.473	0.060	3.981	1.991	0.406	0.064	2.550	1.433	0.383	0.075	1.250	0.790	0.279	0.072
