E_R(GeV)	E_I(GeV)	|T|^2(GeV^-4)
9.	-0.16	7.766604118836506
9.01	-0.16	8.271876325840951
9.02	-0.16	8.820214051798999
9.03	-0.16	9.41616452569486
9.04	-0.16	10.064846395404176
9.05	-0.16	10.772032625913047
9.06	-0.16	11.544246942580928
9.07	-0.16	12.38887625753299
9.08	-0.16	13.314301989889389
9.09	-0.16	14.330053759106542
9.1	-0.16	15.446989614739904
9.11	-0.16	16.677507788571575
9.12	-0.16	18.035795943403077
9.13	-0.16	19.538125078280093
9.14	-0.16	21.203196668084413
9.15	-0.16	23.052553305487297
9.16	-0.16	25.11106511641699
9.17	-0.16	27.407506576442717
9.18	-0.16	29.975241097686496
9.19	-0.16	32.85303389958425
9.2	-0.16	36.08601720329563
9.21	-0.16	39.72683561833725
9.22	-0.16	43.83700353542181
9.23	-0.16	48.48851004280102
9.24	-0.16	53.76570970913861
9.25	-0.16	59.767538454793836
9.26	-0.16	66.61009093031687
9.27	-0.16	74.42958659784709
9.28	-0.16	83.3857318511838
9.29	-0.16	93.66544867081349
9.3	-0.16	105.4868771901273
9.31	-0.16	119.10345691351834
9.32	-0.16	134.80773106139029
9.33	-0.16	152.93427715293518
9.34	-0.16	173.86081659195796
9.35	-0.16	198.0060685463771
9.36	-0.16	225.8222708435745
9.37	-0.16	257.77950662467936
9.38	-0.16	294.3381339185929
9.39	-0.16	335.9049304503311
9.4	-0.16	382.7684622477888
9.41	-0.16	435.0103703417124
9.42	-0.16	492.3927378676293
9.43	-0.16	554.2285224649778
9.44	-0.16	619.2527776776718
9.45	-0.16	685.5260065684962
9.46	-0.16	750.4135135044374
9.47	-0.16	810.6884783041326
9.48	-0.16	862.79225320137
9.49	-0.16	903.2472874764253
9.5	-0.16	929.1617742995702
9.51	-0.16	938.7119482547108
9.52	-0.16	931.468118231942
9.53	-0.16	908.4642611243007
9.54	-0.16	871.9904357399823
9.55	-0.16	825.1762587850104
9.56	-0.16	771.4899869656908
9.57	-0.16	714.2802334344454
9.58	-0.16	656.4458195582486
9.59	-0.16	600.2620203537423
9.6	-0.16	547.344815985375
9.61	-0.16	498.7107917389839
9.62	-0.16	454.8872586053546
9.63	-0.16	416.0364993894262
9.64	-0.16	382.0712755451549
9.65	-0.16	352.75049615266175
9.66	-0.16	327.7521645490711
9.67	-0.16	306.7253916377417
9.68	-0.16	289.3252965055553
9.69	-0.16	275.2350209520442
9.7	-0.16	264.1786642364541
9.71	-0.16	255.92821380285454
9.72	-0.16	250.30678987363612
9.73	-0.16	247.18986369868995
9.74	-0.16	246.5055879856517
9.75	-0.16	248.23498542312134
9.76	-0.16	252.41244995053756
9.77	-0.16	259.12679231576067
9.78	-0.16	268.52287261525413
9.79	-0.16	280.80367427852684
9.8	-0.16	296.23245177700096
9.81	-0.16	315.1342911898446
9.82	-0.16	337.8960187270072
9.83	-0.16	364.9628373145424
9.84	-0.16	396.8293344039703
9.85	-0.16	434.0215843236512
9.86	-0.16	477.0660345108864
9.87	-0.16	526.4399209072577
9.88	-0.16	582.4975356639402
9.89	-0.16	645.3675310276944
9.9	-0.16	714.819723145306
9.91	-0.16	790.1069258613045
9.92	-0.16	869.7992473682277
9.93	-0.16	951.6446012981047
9.94	-0.16	1032.5063584607615
9.95	-0.16	1108.4390496565074
9.96	-0.16	1174.9541418079273
9.97	-0.16	1227.4900359940832
9.98	-0.16	1262.0344906665598
9.99	-0.16	1275.7738775998805
10.	-0.16	1267.5987932824185
10.01	-0.16	1238.3134661180236
10.02	-0.16	1190.4817376292144
10.03	-0.16	1127.9597525201964
10.04	-0.16	1055.2587482150025
10.05	-0.16	976.9100876659226
10.06	-0.16	896.9675871575402
10.07	-0.16	818.7103149623214
10.08	-0.16	744.5402508729433
10.09	-0.16	676.0267183056196
10.1	-0.16	614.0367474712269
10.11	-0.16	558.8983988983924
10.12	-0.16	510.5607056142123
10.13	-0.16	468.7305771520814
10.14	-0.16	432.9795860109844
10.15	-0.16	402.82124638821574
10.16	-0.16	377.7631055003534
10.17	-0.16	357.33905655834906
10.18	-0.16	341.1269284308814
10.19	-0.16	328.755423989083
10.2	-0.16	319.9033475799439
10.21	-0.16	314.29303294123804
10.22	-0.16	311.67908131138944
10.23	-0.16	311.8330241159587
10.24	-0.16	314.52441640003406
10.25	-0.16	319.49924353316067
10.26	-0.16	326.4574661093833
10.27	-0.16	335.0330077831633
