E_R(GeV)	Re[detF]	Im[detF]
10.1	-0.2798991245590963	0.5602809664508603
10.11	-0.3351107284816626	0.47916036823526886
10.12	-0.37050836354187594	0.39637743163682715
10.13	-0.3885930447355893	0.3159984189981347
10.14	-0.39131815566847106	0.24097214289396615
10.15	-0.3817947682086893	0.1732453542835709
10.16	-0.36298012955885295	0.11372133876345136
10.17	-0.3367596487135372	0.06362443520209378
10.18	-0.30608563678994394	0.022587019588974803
10.19	-0.2711653670000544	-0.00972838434101381
10.2	-0.23567143928974874	-0.03335621671440652
10.21	-0.19972184521626957	-0.049116107193056154
10.22	-0.16585275858308662	-0.05851534426598098
10.23	-0.13250311909959062	-0.062296366068734566
10.24	-0.10232916968043444	-0.05982309070856148
10.25	-0.07515578376627581	-0.05405989902190387
10.26	-0.05193107042984142	-0.04444178019306255
10.27	-0.030776849929702036	-0.03234333394783895
10.28	-0.013704393043453396	-0.01873226000056915
10.29	0.001154909814687583	-0.0038341741587919246
10.3	0.012679130242642856	0.01234481057697405
10.31	0.021671899433938883	0.02911119280325107
10.32	0.027101872406804204	0.04681866815325829
10.33	0.03207500175192241	0.06313420421627207
10.34	0.03537884592309207	0.08359434398912062
10.35	0.027032922083219738	0.10036153436121469
10.36	0.02729327948251397	0.11068705231640055
10.37	0.023370280096262176	0.12529138666717737
10.38	0.02092026630178083	0.13698036540635572
10.39	0.015890108661783038	0.15022315357338367
10.4	0.00883665180701118	0.16152129030021561
10.41	0.0010176399115419078	0.1728575039001445
10.42	-0.006398713825802309	0.18152155228323494
10.43	-0.013527321403927354	0.1897247266815335
10.44	-0.0213814155396937	0.19744338015028834
10.45	-0.029869122564174073	0.20527607451733465
10.46	-0.03908286273418166	0.21214668090762986
10.47	-0.04724218957826205	0.21785503946160756
10.48	-0.05528406358531387	0.22503684489183687
10.49	-0.06531877808113609	0.229132262820552
10.5	-0.0742312144539046	0.23384323665166593
