E_R(GeV)	Re[detF]	Im[detF]
10.1	-0.5261117157467691	1.1395985129628987
10.11	-0.6227022464829224	0.9889370180068081
10.12	-0.6739190388666676	0.8477380131624079
10.13	-0.7005429856715849	0.7073297034061674
10.14	-0.693880750523877	0.577461086483913
10.15	-0.6680589947112539	0.4801514935994875
10.16	-0.6585990183384304	0.3999346950364521
10.17	-0.6503825173576473	0.3283422996487316
10.18	-0.630039460839406	0.2345514088572295
10.19	-0.5841998178542079	0.1577227770934322
10.2	-0.5634307186224915	0.1485106719637308
10.21	-0.5484303423556548	0.2049473725872506
10.22	-0.5373641060173563	0.325065158083115
10.23	-0.5283974265712524	0.5068963075704911
10.24	-0.5196957209810046	0.7484731001684377
10.25	-0.509424406210269	1.0478278149961078
10.26	-0.4957488992227047	1.402992731172624
10.27	-0.47683461698196894	1.812000127817118
10.28	-0.4508469764517208	2.27288228404871
10.29	-0.41595139459561825	2.7836714789865287
10.3	-0.37031328837731936	3.342399991749696
10.31	-0.312098074760471	3.947100101457453
10.32	-0.23947117070875168	4.595804087228709
10.33	-0.1505979931858109	5.286544228182691
10.34	-0.04364395915530661	6.017352803438528
10.35	0.08322551441910275	6.786262092115342
10.36	0.23184501057375928	7.59130437333226
10.37	0.4040491123450044	8.430511926208409
10.38	0.6016724027691799	9.301917029862913
10.39	0.8265494648826275	10.203551963414897
10.4	1.0805148817217367	11.133449005983657
10.41	1.2413664633754389	10.569644883529467
10.42	1.3888078317981578	10.467833895763654
10.43	1.6025426089442745	10.666639068114968
10.44	1.7469428925949528	10.476350452004748
10.45	1.8539291341197297	10.38751364371992
10.46	1.955421784888141	10.413770028897517
10.47	2.1066417530084993	10.364869418387524
10.48	2.2162399513441295	10.26811563135762
10.49	2.29782468789716	10.224394434932005
10.5	2.393126284661728	10.184158098452992
