E_R(GeV)	Re[detF]	Im[detF]
10.1	-0.3655375748471971	1.020399627101056
10.11	-0.44966134757175413	0.9036644135325403
10.12	-0.5058954769696572	0.7929845315681239
10.13	-0.5422728305218497	0.6855167053672953
10.14	-0.5608680685982869	0.5851816541580299
10.15	-0.5658870407598557	0.49510398740889894
10.16	-0.5660305693264596	0.41666025852763494
10.17	-0.5602390316678374	0.3428122849196444
10.18	-0.550324443868644	0.2724345525309828
10.19	-0.5199394879020832	0.21324235189422583
10.2	-0.49346060921990836	0.16825527412238914
10.21	-0.46815271041121265	0.12856059984552645
10.22	-0.4460269362535937	0.09453720557343755
10.23	-0.4196276964747308	0.06052348829320286
10.24	-0.3831500606149637	0.02651059612061771
10.25	-0.3494760445159092	0.02196683117365835
10.26	-0.3271556541275404	-0.0008859984178214409
10.27	-0.296661817416176	-0.003917771821314084
10.28	-0.27176851342906705	-0.003797711494661584
10.29	-0.2518973511371892	-0.007167900825676907
10.3	-0.2329156883358074	-0.005147511407518993
10.31	-0.21731427658325184	-0.0009729664752936328
10.32	-0.2039902908871954	0.0034474451154820193
10.33	-0.19326052932137808	0.010788015953043023
10.34	-0.18593494197265986	0.015017187408082276
10.35	-0.1783686822588176	0.019110135765926146
10.36	-0.16813711935539521	0.020574782345216713
10.37	-0.16085205292495175	0.023522667633511855
10.38	-0.1523031230043949	0.02843921533582384
10.39	-0.14526600409875853	0.03852902006844361
10.4	-0.13917473492691745	0.04946398254204243
10.41	-0.13255797951962733	0.06150472809366765
10.42	-0.1349090997133098	0.06930476630978352
10.43	-0.13132566714404179	0.07954226939155527
10.44	-0.13624723186059756	0.08863814469683014
10.45	-0.13654589824797406	0.09479599623117235
10.46	-0.13678509259357421	0.10456075985712122
10.47	-0.13959866894698514	0.11232778103405756
10.48	-0.14126512165191266	0.1196323185142345
10.49	-0.14463195358930728	0.11858140303384658
10.5	-0.14516774379297004	0.11801267221291196
