E_R(GeV)	E_I(GeV)	|T|^2(GeV^-4)
9.	-0.3	60.78889130361834
9.01	-0.3	60.74571639821763
9.02	-0.3	60.60869424958823
9.03	-0.3	60.46886105042773
9.04	-0.3	60.40148415581914
9.05	-0.3	60.279762051166884
9.06	-0.3	60.15548015688681
9.07	-0.3	59.98513660247696
9.08	-0.3	59.79881592104233
9.09	-0.3	59.592494440174384
9.1	-0.3	59.38314301240687
9.11	-0.3	59.111180431534024
9.12	-0.3	58.932957964046615
9.13	-0.3	58.62633594071602
9.14	-0.3	58.368925629483805
9.15	-0.3	58.06899261490515
9.16	-0.3	57.90377332461216
9.17	-0.3	57.48561410459407
9.18	-0.3	57.10048506699113
9.19	-0.3	56.83666676290481
9.2	-0.3	56.523507595053246
9.21	-0.3	56.20817448158709
9.22	-0.3	55.82903929526792
9.23	-0.3	55.525006358323246
9.24	-0.3	55.1306266862403
9.25	-0.3	54.78758717000656
9.26	-0.3	54.52796430807542
9.27	-0.3	54.041492762958526
9.28	-0.3	53.62678818782858
9.29	-0.3	53.21736871451879
9.3	-0.3	52.80711482639676
9.31	-0.3	52.3062613839854
9.32	-0.3	51.845393662960916
9.33	-0.3	51.38574797026597
9.34	-0.3	50.84713205693959
9.35	-0.3	50.28812178537435
9.36	-0.3	49.76710763315511
9.37	-0.3	49.23707223208488
9.38	-0.3	48.66746983702576
9.39	-0.3	48.09230249537563
9.4	-0.3	47.522912721470604
9.41	-0.3	46.88598284955842
9.42	-0.3	46.26135576251456
9.43	-0.3	45.64575152982739
9.44	-0.3	45.09306929660421
9.45	-0.3	44.22724403650983
9.46	-0.3	43.56653044318354
9.47	-0.3	42.992833651884006
9.48	-0.3	42.32572878541277
9.49	-0.3	41.76078485322013
9.5	-0.3	41.039637720339385
9.51	-0.3	41.135965118265574
9.52	-0.3	38.980422378519606
9.53	-0.3	38.37134795409455
9.54	-0.3	38.375227601260264
9.55	-0.3	37.83565530193318
9.56	-0.3	37.39434160780986
9.57	-0.3	36.942251134448064
9.58	-0.3	36.53345737582292
9.59	-0.3	36.17864209821148
9.6	-0.3	35.82604123951844
9.61	-0.3	35.55392346629167
9.62	-0.3	35.282346754456455
9.63	-0.3	35.13240379324195
9.64	-0.3	34.93217393009243
9.65	-0.3	34.816790137884006
9.66	-0.3	34.767750241999124
9.67	-0.3	34.73458348022862
9.68	-0.3	34.775769206643524
9.69	-0.3	34.81077535096205
9.7	-0.3	34.89891483124018
9.71	-0.3	35.045796776527396
9.72	-0.3	35.19212706170484
9.73	-0.3	35.37536203758135
9.74	-0.3	35.57795766287697
9.75	-0.3	35.823627604204574
9.76	-0.3	36.05863875771977
9.77	-0.3	36.34764398437975
9.78	-0.3	36.60521140991233
9.79	-0.3	36.90313475820319
9.8	-0.3	37.19000728825213
9.81	-0.3	37.47271496546869
9.82	-0.3	37.75509636726029
9.83	-0.3	38.014747571822
9.84	-0.3	38.27906712299226
9.85	-0.3	38.54319682585431
9.86	-0.3	38.757141030073
9.87	-0.3	39.010772323747645
9.88	-0.3	39.22537970313489
9.89	-0.3	39.43332909095017
9.9	-0.3	39.660255593224356
9.91	-0.3	39.84575321834134
9.92	-0.3	40.053140069101005
9.93	-0.3	40.25940212769381
9.94	-0.3	40.466824703390415
9.95	-0.3	40.70031306427089
9.96	-0.3	40.928764808119254
9.97	-0.3	41.17453732958456
9.98	-0.3	41.42909236097228
9.99	-0.3	41.709004094785996
10.	-0.3	42.01414515388927
10.01	-0.3	42.32151112230519
10.02	-0.3	42.67446507108042
10.03	-0.3	43.06024174624224
10.04	-0.3	43.45087879875529
10.05	-0.3	43.86819554029536
10.06	-0.3	44.27625714594099
10.07	-0.3	44.765801345972015
10.08	-0.3	45.25508811804651
10.09	-0.3	45.74693982645073
10.1	-0.3	46.241275598925945
10.11	-0.3	46.76686151626236
10.12	-0.3	47.30278857611369
10.13	-0.3	47.84556507448386
10.14	-0.3	48.38625921578709
10.15	-0.3	48.93452335983136
10.16	-0.3	49.480288789732086
10.17	-0.3	50.02439026491963
10.18	-0.3	50.577189340785466
10.19	-0.3	51.04852339598444
10.2	-0.3	51.573867859440064
10.21	-0.3	52.10998726585007
10.22	-0.3	52.68168317071718
10.23	-0.3	53.186268910945806
10.24	-0.3	53.6630569796845
10.25	-0.3	54.16737721670529
10.26	-0.3	54.63747431977275
10.27	-0.3	55.11449790545917
10.28	-0.3	55.56729399098826
10.29	-0.3	55.99583125865052
