# P(GeV)	Gamma(GeV)
0.100000	4.880000e-04
0.600000	5.010000e-04
1.100000	5.390000e-04
1.600000	5.970000e-04
2.100000	6.810000e-04
2.600000	7.850000e-04
3.100000	9.140000e-04
3.600000	1.082000e-03
4.100000	1.258000e-03
4.600000	1.475000e-03
5.100000	1.729000e-03
5.600000	2.000000e-03
6.100000	2.296000e-03
6.600000	2.623000e-03
7.100000	2.951000e-03
7.600000	3.303000e-03
8.100000	3.725000e-03
8.600000	4.075000e-03
9.100000	4.513000e-03
9.600000	4.903000e-03
10.000000	5.246000e-03
11.000000	6.107000e-03
12.000000	6.942000e-03
13.000000	7.796000e-03
14.000000	8.499000e-03
15.000000	9.273000e-03
16.000000	9.973000e-03
17.000000	1.056200e-02
18.000000	1.116800e-02
19.000000	1.165600e-02
20.000000	1.201200e-02
21.000000	1.255500e-02
22.000000	1.290000e-02
23.000000	1.318500e-02
24.000000	1.334900e-02
25.000000	1.364100e-02
26.000000	1.381000e-02
27.000000	1.400900e-02
28.000000	1.409900e-02
29.000000	1.420900e-02
30.000000	1.435400e-02
31.000000	1.445900e-02
32.000000	1.449400e-02
33.000000	1.460400e-02
34.000000	1.461900e-02
35.000000	1.465800e-02
36.000000	1.469100e-02
37.000000	1.465200e-02
38.000000	1.467900e-02
39.000000	1.471000e-02
40.000000	1.468400e-02
