# P(GeV)	Gamma(MeV)
0.100000	5.962870e+02
0.350000	5.929870e+02
0.600000	5.926250e+02
0.850000	5.856430e+02
1.100000	5.853730e+02
1.350000	5.794860e+02
1.600000	5.703790e+02
1.850000	5.613500e+02
2.100000	5.556610e+02
2.350000	5.423240e+02
2.600000	5.329170e+02
2.850000	5.175580e+02
3.100000	5.052550e+02
3.350000	4.896740e+02
3.600000	4.689720e+02
3.850000	4.596200e+02
4.100000	4.440250e+02
4.350000	4.257340e+02
4.600000	4.118210e+02
4.850000	3.956000e+02
5.000000	3.877050e+02
6.000000	3.323520e+02
7.000000	2.846200e+02
8.000000	2.453670e+02
9.000000	2.125370e+02
10.000000	1.844090e+02
11.000000	1.640450e+02
12.000000	1.457050e+02
13.000000	1.305920e+02
14.000000	1.185260e+02
15.000000	1.082160e+02
16.000000	9.901210e+01
17.000000	9.240600e+01
18.000000	8.552690e+01
19.000000	7.861220e+01
20.000000	7.379360e+01
