# P(GeV)	Gamma(MeV)
0.100000	9.978000e+00
0.350000	1.044500e+01
0.600000	1.134500e+01
0.850000	1.283300e+01
1.100000	1.450900e+01
1.350000	1.684300e+01
1.600000	1.927900e+01
1.850000	2.227300e+01
2.100000	2.522100e+01
2.350000	2.857500e+01
2.600000	3.209600e+01
2.850000	3.549300e+01
3.100000	3.889300e+01
3.350000	4.177400e+01
3.600000	4.523500e+01
3.850000	4.796800e+01
4.100000	5.083600e+01
4.350000	5.332600e+01
4.600000	5.609200e+01
4.850000	5.773800e+01
5.000000	5.946300e+01
6.000000	6.487200e+01
7.000000	6.784500e+01
8.000000	6.898300e+01
9.000000	6.868400e+01
10.000000	6.734700e+01
11.000000	6.512400e+01
12.000000	6.298800e+01
13.000000	6.113700e+01
14.000000	5.892800e+01
15.000000	5.660700e+01
16.000000	5.484400e+01
17.000000	5.297400e+01
18.000000	5.108700e+01
19.000000	4.927400e+01
20.000000	4.777000e+01
