# P(GeV)	Gamma(MeV)
0.000000	1.106541e+01
0.200000	1.104241e+01
0.400000	1.131385e+01
0.600000	1.176235e+01
0.800000	1.238211e+01
1.000000	1.316508e+01
1.200000	1.410134e+01
1.400000	1.517920e+01
1.600000	1.638562e+01
1.800000	1.770679e+01
2.000000	1.912819e+01
2.200000	2.063546e+01
2.400000	2.221440e+01
2.600000	2.385143e+01
2.800000	2.553393e+01
3.000000	2.725007e+01
3.200000	2.898923e+01
3.400000	3.074195e+01
3.600000	3.249979e+01
3.800000	3.425549e+01
4.000000	3.600266e+01
4.200000	3.773589e+01
4.400000	3.945063e+01
4.600000	4.114312e+01
4.800000	4.281021e+01
5.000000	4.444946e+01
5.200000	4.605897e+01
5.400000	4.763721e+01
5.600000	4.918360e+01
5.800000	5.069703e+01
6.000000	5.217730e+01
6.200000	5.362423e+01
6.400000	5.503570e+01
6.600000	5.641314e+01
6.800000	5.775671e+01
7.000000	5.906607e+01
7.200000	6.034205e+01
7.400000	6.158509e+01
7.600000	6.279864e+01
7.800000	6.397784e+01
8.000000	6.512588e+01
8.200000	6.624692e+01
8.400000	6.733529e+01
8.600000	6.839758e+01
8.800000	6.942942e+01
9.000000	7.043632e+01
9.200000	7.141416e+01
9.400000	7.236870e+01
9.600000	7.329546e+01
9.800000	7.420147e+01
10.000000	7.508019e+01
10.200000	7.593917e+01
10.400000	7.677720e+01
10.600000	7.759374e+01
10.800000	7.838912e+01
11.000000	7.916509e+01
11.200000	7.991981e+01
11.400000	8.065559e+01
11.600000	8.137505e+01
11.800000	8.207540e+01
12.000000	8.275716e+01
12.200000	8.342272e+01
12.400000	8.407191e+01
12.600000	8.470386e+01
12.800000	8.532366e+01
13.000000	8.592606e+01
13.200000	8.651224e+01
13.400000	8.708912e+01
13.600000	8.764805e+01
13.800000	8.819296e+01
14.000000	8.873105e+01
14.200000	8.925096e+01
14.400000	8.975791e+01
14.600000	9.025261e+01
14.800000	9.074469e+01
15.000000	9.121662e+01
15.200000	9.167757e+01
15.400000	9.212740e+01
15.600000	9.257761e+01
15.800000	9.300829e+01
16.000000	9.342901e+01
16.200000	9.383923e+01
16.400000	9.424325e+01
16.600000	9.464607e+01
16.800000	9.502576e+01
17.000000	9.540004e+01
17.200000	9.576627e+01
17.400000	9.612615e+01
17.600000	9.648861e+01
17.800000	9.683233e+01
18.000000	9.716904e+01
18.200000	9.749675e+01
18.400000	9.781709e+01
18.600000	9.813490e+01
18.800000	9.845388e+01
19.000000	9.875809e+01
19.200000	9.905265e+01
19.400000	9.934046e+01
19.600000	9.962230e+01
19.800000	9.989990e+01
20.000000	1.001757e+02
