# P(GeV)	Gamma(MeV)
0.100000	1.114710e+03
0.350000	1.112590e+03
0.600000	1.098060e+03
0.850000	1.081290e+03
1.100000	1.062710e+03
1.350000	1.034630e+03
1.600000	1.014010e+03
1.850000	9.830650e+02
2.100000	9.554450e+02
2.350000	9.261110e+02
2.600000	8.824140e+02
2.850000	8.573210e+02
3.100000	8.223110e+02
3.350000	7.861470e+02
3.600000	7.563830e+02
3.850000	7.215140e+02
4.100000	6.948050e+02
4.350000	6.650760e+02
4.600000	6.334800e+02
4.850000	6.015800e+02
5.000000	5.860340e+02
6.000000	5.022800e+02
7.000000	4.204420e+02
8.000000	3.582180e+02
9.000000	3.025280e+02
10.000000	2.682580e+02
11.000000	2.428150e+02
12.000000	2.169980e+02
13.000000	1.943030e+02
14.000000	1.747330e+02
15.000000	1.570490e+02
16.000000	1.455470e+02
17.000000	1.326730e+02
18.000000	1.229010e+02
19.000000	1.158080e+02
20.000000	1.073720e+02
