# P(GeV)	Gamma(MeV)
0.100000	1.000197e+03
0.350000	9.927950e+02
0.600000	9.788580e+02
0.850000	9.591820e+02
1.100000	9.349360e+02
1.350000	9.067020e+02
1.600000	8.718790e+02
1.850000	8.368470e+02
2.100000	7.996020e+02
2.350000	7.616800e+02
2.600000	7.245670e+02
2.850000	6.895480e+02
3.100000	6.532220e+02
3.350000	6.203270e+02
3.600000	5.883820e+02
3.850000	5.580370e+02
4.100000	5.309290e+02
4.350000	5.034980e+02
4.600000	4.777100e+02
4.850000	4.552470e+02
5.000000	4.393250e+02
6.000000	3.662410e+02
7.000000	3.092640e+02
8.000000	2.639230e+02
9.000000	2.313170e+02
10.000000	2.036800e+02
11.000000	1.823220e+02
12.000000	1.652110e+02
13.000000	1.499770e+02
14.000000	1.384610e+02
15.000000	1.281670e+02
16.000000	1.200640e+02
17.000000	1.120170e+02
18.000000	1.056710e+02
19.000000	1.001680e+02
20.000000	9.504700e+01
