# P(GeV)	Gamma(MeV)
0.000000	2.760446e+02
0.200000	2.756278e+02
0.400000	2.761692e+02
0.600000	2.770559e+02
0.800000	2.782652e+02
1.000000	2.797679e+02
1.200000	2.815297e+02
1.400000	2.835129e+02
1.600000	2.856777e+02
1.800000	2.879840e+02
2.000000	2.903996e+02
2.200000	2.928865e+02
2.400000	2.954315e+02
2.600000	2.979760e+02
2.800000	3.005347e+02
3.000000	3.030798e+02
3.200000	3.055912e+02
3.400000	3.080424e+02
3.600000	3.104608e+02
3.800000	3.127923e+02
4.000000	3.150912e+02
4.200000	3.172919e+02
4.400000	3.194548e+02
4.600000	3.215137e+02
4.800000	3.234933e+02
5.000000	3.254440e+02
5.200000	3.272929e+02
5.400000	3.290610e+02
5.600000	3.308066e+02
5.800000	3.324558e+02
6.000000	3.340303e+02
6.200000	3.355421e+02
6.400000	3.370113e+02
6.600000	3.384574e+02
6.800000	3.398328e+02
7.000000	3.411507e+02
7.200000	3.424299e+02
7.400000	3.436922e+02
7.600000	3.448398e+02
7.800000	3.459579e+02
8.000000	3.470233e+02
8.200000	3.480473e+02
8.400000	3.490336e+02
8.600000	3.499839e+02
8.800000	3.509018e+02
9.000000	3.517774e+02
9.200000	3.526216e+02
9.400000	3.534403e+02
9.600000	3.542268e+02
9.800000	3.549950e+02
10.000000	3.557258e+02
10.200000	3.564197e+02
10.400000	3.570902e+02
10.600000	3.577473e+02
10.800000	3.583774e+02
11.000000	3.589678e+02
11.200000	3.595440e+02
11.400000	3.601020e+02
11.600000	3.606349e+02
11.800000	3.611485e+02
12.000000	3.616426e+02
12.200000	3.621165e+02
12.400000	3.625701e+02
12.600000	3.630100e+02
12.800000	3.634328e+02
13.000000	3.638357e+02
13.200000	3.642258e+02
13.400000	3.646001e+02
13.600000	3.649591e+02
13.800000	3.653052e+02
14.000000	3.656381e+02
14.200000	3.659593e+02
14.400000	3.662672e+02
14.600000	3.665624e+02
14.800000	3.668448e+02
15.000000	3.671160e+02
15.200000	3.673745e+02
15.400000	3.676238e+02
15.600000	3.678617e+02
15.800000	3.680889e+02
16.000000	3.683044e+02
16.200000	3.685117e+02
16.400000	3.687092e+02
16.600000	3.688973e+02
16.800000	3.690761e+02
17.000000	3.692460e+02
17.200000	3.694001e+02
17.400000	3.695522e+02
17.600000	3.696961e+02
17.800000	3.698320e+02
18.000000	3.699601e+02
18.200000	3.700804e+02
18.400000	3.701934e+02
18.600000	3.702991e+02
18.800000	3.703976e+02
19.000000	3.704891e+02
19.200000	3.705737e+02
19.400000	3.706523e+02
19.600000	3.707221e+02
19.800000	3.707874e+02
20.000000	3.708458e+02
