# P(GeV)	Gamma(MeV)
0.100000	1.150684e+03
0.350000	1.142316e+03
0.600000	1.121222e+03
0.850000	1.090798e+03
1.100000	1.056494e+03
1.350000	1.015822e+03
1.600000	9.691670e+02
1.850000	9.211350e+02
2.100000	8.745840e+02
2.350000	8.280350e+02
2.600000	7.856240e+02
2.850000	7.446360e+02
3.100000	7.027270e+02
3.350000	6.666300e+02
3.600000	6.320590e+02
3.850000	5.998230e+02
4.100000	5.716650e+02
4.350000	5.442110e+02
4.600000	5.202190e+02
4.850000	4.973960e+02
5.000000	4.853130e+02
6.000000	4.151230e+02
7.000000	3.656340e+02
8.000000	3.275550e+02
9.000000	2.987170e+02
10.000000	2.768830e+02
11.000000	2.594420e+02
12.000000	2.455050e+02
13.000000	2.350430e+02
14.000000	2.243840e+02
15.000000	2.165380e+02
16.000000	2.094130e+02
17.000000	2.035540e+02
18.000000	1.981810e+02
19.000000	1.937290e+02
20.000000	1.901020e+02
