# P(GeV)	Gamma(MeV)
0.000000	1.903405e+02
0.200000	1.898741e+02
0.400000	1.903884e+02
0.600000	1.912221e+02
0.800000	1.923428e+02
1.000000	1.937107e+02
1.200000	1.952806e+02
1.400000	1.970075e+02
1.600000	1.988485e+02
1.800000	2.007635e+02
2.000000	2.027195e+02
2.200000	2.046878e+02
2.400000	2.066447e+02
2.600000	2.085733e+02
2.800000	2.104599e+02
3.000000	2.122945e+02
3.200000	2.140708e+02
3.400000	2.157845e+02
3.600000	2.174333e+02
3.800000	2.190165e+02
4.000000	2.205346e+02
4.200000	2.219885e+02
4.400000	2.233798e+02
4.600000	2.247109e+02
4.800000	2.259840e+02
5.000000	2.272016e+02
5.200000	2.283663e+02
5.400000	2.294805e+02
5.600000	2.305469e+02
5.800000	2.315679e+02
6.000000	2.325459e+02
6.200000	2.334830e+02
6.400000	2.343816e+02
6.600000	2.352436e+02
6.800000	2.360710e+02
7.000000	2.368657e+02
7.200000	2.376293e+02
7.400000	2.383636e+02
7.600000	2.390699e+02
7.800000	2.397499e+02
8.000000	2.404047e+02
8.200000	2.410358e+02
8.400000	2.416442e+02
8.600000	2.422311e+02
8.800000	2.427976e+02
9.000000	2.433446e+02
9.200000	2.438731e+02
9.400000	2.443839e+02
9.600000	2.448779e+02
9.800000	2.453558e+02
10.000000	2.458183e+02
10.200000	2.462661e+02
10.400000	2.466999e+02
10.600000	2.471203e+02
10.800000	2.475278e+02
11.000000	2.479230e+02
11.200000	2.483063e+02
11.400000	2.486783e+02
11.600000	2.490395e+02
11.800000	2.493902e+02
12.000000	2.497308e+02
12.200000	2.500618e+02
12.400000	2.503835e+02
12.600000	2.506962e+02
12.800000	2.510003e+02
13.000000	2.512961e+02
13.200000	2.515838e+02
13.400000	2.518639e+02
13.600000	2.521365e+02
13.800000	2.524018e+02
14.000000	2.526602e+02
14.200000	2.529118e+02
14.400000	2.531569e+02
14.600000	2.533958e+02
14.800000	2.536285e+02
15.000000	2.538553e+02
15.200000	2.540763e+02
15.400000	2.542918e+02
15.600000	2.545019e+02
15.800000	2.547067e+02
16.000000	2.549065e+02
16.200000	2.551014e+02
16.400000	2.552914e+02
16.600000	2.554768e+02
16.800000	2.556577e+02
17.000000	2.558341e+02
17.200000	2.560063e+02
17.400000	2.561743e+02
17.600000	2.563382e+02
17.800000	2.564982e+02
18.000000	2.566543e+02
18.200000	2.568066e+02
18.400000	2.569553e+02
18.600000	2.571004e+02
18.800000	2.572420e+02
19.000000	2.573802e+02
19.200000	2.575151e+02
19.400000	2.576468e+02
19.600000	2.577752e+02
19.800000	2.579006e+02
20.000000	2.580230e+02
