# P(GeV)	Gamma(MeV)
0.100000	8.747110e+02
0.350000	8.656530e+02
0.600000	8.590630e+02
0.850000	8.406690e+02
1.100000	8.202080e+02
1.350000	7.992410e+02
1.600000	7.693360e+02
1.850000	7.359600e+02
2.100000	7.134400e+02
2.350000	6.827230e+02
2.600000	6.576680e+02
2.850000	6.288580e+02
3.100000	6.022850e+02
3.350000	5.732230e+02
3.600000	5.464700e+02
3.850000	5.246250e+02
4.100000	5.060620e+02
4.350000	4.849910e+02
4.600000	4.683600e+02
4.850000	4.484080e+02
5.000000	4.382980e+02
6.000000	3.830630e+02
7.000000	3.389460e+02
8.000000	3.067510e+02
9.000000	2.812690e+02
10.000000	2.619210e+02
11.000000	2.442100e+02
12.000000	2.320550e+02
13.000000	2.202620e+02
14.000000	2.120210e+02
15.000000	2.038290e+02
16.000000	1.982560e+02
17.000000	1.920600e+02
18.000000	1.867180e+02
19.000000	1.827930e+02
20.000000	1.784750e+02
