# P(GeV)	Gamma(MeV)
0.100000	1.148767e+03
0.350000	1.144400e+03
0.600000	1.121686e+03
0.850000	1.091464e+03
1.100000	1.054224e+03
1.350000	1.013191e+03
1.600000	9.691060e+02
1.850000	9.206800e+02
2.100000	8.747200e+02
2.350000	8.286110e+02
2.600000	7.844790e+02
2.850000	7.435130e+02
3.100000	7.040060e+02
3.350000	6.661920e+02
3.600000	6.328160e+02
3.850000	6.013660e+02
4.100000	5.714830e+02
4.350000	5.450080e+02
4.600000	5.203500e+02
4.850000	4.983720e+02
5.000000	4.857100e+02
6.000000	4.160040e+02
7.000000	3.640760e+02
8.000000	3.275190e+02
9.000000	2.984930e+02
10.000000	2.771600e+02
11.000000	2.597210e+02
12.000000	2.454940e+02
13.000000	2.339560e+02
14.000000	2.247340e+02
15.000000	2.164620e+02
16.000000	2.096430e+02
17.000000	2.034520e+02
18.000000	1.981690e+02
19.000000	1.937650e+02
20.000000	1.901580e+02
