# P(GeV)	Gamma(MeV)
0.000000	5.710215e+02
0.200000	5.696224e+02
0.400000	5.711651e+02
0.600000	5.736662e+02
0.800000	5.770285e+02
1.000000	5.811320e+02
1.200000	5.858417e+02
1.400000	5.910224e+02
1.600000	5.965456e+02
1.800000	6.022904e+02
2.000000	6.081586e+02
2.200000	6.140633e+02
2.400000	6.199341e+02
2.600000	6.257199e+02
2.800000	6.313797e+02
3.000000	6.368835e+02
3.200000	6.422124e+02
3.400000	6.473535e+02
3.600000	6.523000e+02
3.800000	6.570496e+02
4.000000	6.616037e+02
4.200000	6.659654e+02
4.400000	6.701394e+02
4.600000	6.741326e+02
4.800000	6.779520e+02
5.000000	6.816049e+02
5.200000	6.850989e+02
5.400000	6.884415e+02
5.600000	6.916407e+02
5.800000	6.947037e+02
6.000000	6.976376e+02
6.200000	7.004491e+02
6.400000	7.031448e+02
6.600000	7.057308e+02
6.800000	7.082131e+02
7.000000	7.105971e+02
7.200000	7.128880e+02
7.400000	7.150907e+02
7.600000	7.172098e+02
7.800000	7.192496e+02
8.000000	7.212142e+02
8.200000	7.231073e+02
8.400000	7.249326e+02
8.600000	7.266934e+02
8.800000	7.283929e+02
9.000000	7.300339e+02
9.200000	7.316194e+02
9.400000	7.331518e+02
9.600000	7.346337e+02
9.800000	7.360673e+02
10.000000	7.374548e+02
10.200000	7.387984e+02
10.400000	7.400997e+02
10.600000	7.413609e+02
10.800000	7.425833e+02
11.000000	7.437689e+02
11.200000	7.449190e+02
11.400000	7.460350e+02
11.600000	7.471185e+02
11.800000	7.481705e+02
12.000000	7.491924e+02
12.200000	7.501853e+02
12.400000	7.511504e+02
12.600000	7.520886e+02
12.800000	7.530009e+02
13.000000	7.538882e+02
13.200000	7.547515e+02
13.400000	7.555916e+02
13.600000	7.564094e+02
13.800000	7.572054e+02
14.000000	7.579806e+02
14.200000	7.587355e+02
14.400000	7.594708e+02
14.600000	7.601873e+02
14.800000	7.608854e+02
15.000000	7.615658e+02
15.200000	7.622289e+02
15.400000	7.628754e+02
15.600000	7.635057e+02
15.800000	7.641202e+02
16.000000	7.647196e+02
16.200000	7.653041e+02
16.400000	7.658743e+02
16.600000	7.664304e+02
16.800000	7.669730e+02
17.000000	7.675024e+02
17.200000	7.680189e+02
17.400000	7.685228e+02
17.600000	7.690146e+02
17.800000	7.694945e+02
18.000000	7.699628e+02
18.200000	7.704199e+02
18.400000	7.708659e+02
18.600000	7.713012e+02
18.800000	7.717261e+02
19.000000	7.721407e+02
19.200000	7.725454e+02
19.400000	7.729403e+02
19.600000	7.733257e+02
19.800000	7.737018e+02
20.000000	7.740689e+02
