# P(GeV)	Gamma(MeV)
0.100000	4.860000e-01
0.600000	5.030000e-01
1.100000	5.380000e-01
1.600000	5.970000e-01
2.100000	6.790000e-01
2.600000	7.870000e-01
3.100000	9.180000e-01
3.600000	1.069000e+00
4.100000	1.267000e+00
4.600000	1.465000e+00
5.100000	1.716000e+00
5.600000	1.983000e+00
6.100000	2.289000e+00
6.600000	2.606000e+00
7.100000	2.959000e+00
7.600000	3.323000e+00
8.100000	3.703000e+00
8.600000	4.089000e+00
9.100000	4.474000e+00
9.600000	4.922000e+00
10.000000	5.274000e+00
11.000000	6.098000e+00
12.000000	6.976000e+00
13.000000	7.764000e+00
14.000000	8.552000e+00
15.000000	9.271000e+00
16.000000	9.951000e+00
17.000000	1.057300e+01
18.000000	1.107600e+01
19.000000	1.163900e+01
20.000000	1.211900e+01
21.000000	1.238700e+01
22.000000	1.280200e+01
23.000000	1.314600e+01
24.000000	1.339400e+01
25.000000	1.363100e+01
26.000000	1.388200e+01
27.000000	1.409600e+01
28.000000	1.411900e+01
29.000000	1.426500e+01
30.000000	1.432400e+01
31.000000	1.453600e+01
32.000000	1.449700e+01
33.000000	1.459400e+01
34.000000	1.461800e+01
35.000000	1.465900e+01
36.000000	1.470600e+01
37.000000	1.470300e+01
38.000000	1.468900e+01
39.000000	1.471100e+01
40.000000	1.465900e+01
