# P(GeV)	Gamma(MeV)
0.100000	1.230000e-01
0.600000	1.280000e-01
1.100000	1.400000e-01
1.600000	1.570000e-01
2.100000	1.840000e-01
2.600000	2.180000e-01
3.100000	2.620000e-01
3.600000	3.150000e-01
4.100000	3.800000e-01
4.600000	4.550000e-01
5.100000	5.490000e-01
5.600000	6.480000e-01
6.100000	7.660000e-01
6.600000	8.970000e-01
7.100000	1.044000e+00
7.600000	1.204000e+00
8.100000	1.379000e+00
8.600000	1.568000e+00
9.100000	1.774000e+00
9.600000	1.986000e+00
10.000000	2.167000e+00
11.000000	2.655000e+00
12.000000	3.189000e+00
13.000000	3.753000e+00
14.000000	4.320000e+00
15.000000	4.940000e+00
16.000000	5.546000e+00
17.000000	6.197000e+00
18.000000	6.793000e+00
19.000000	7.445000e+00
20.000000	8.044000e+00
21.000000	8.700000e+00
22.000000	9.254000e+00
23.000000	9.887000e+00
24.000000	1.046400e+01
25.000000	1.105900e+01
26.000000	1.160400e+01
27.000000	1.217800e+01
28.000000	1.271000e+01
29.000000	1.321000e+01
30.000000	1.367100e+01
31.000000	1.415900e+01
32.000000	1.458000e+01
33.000000	1.506900e+01
34.000000	1.556900e+01
35.000000	1.595700e+01
36.000000	1.637700e+01
37.000000	1.675200e+01
38.000000	1.720200e+01
39.000000	1.753200e+01
40.000000	1.782600e+01
