# P(GeV)	Gamma(MeV)
0.100000	4.712100e+01
0.600000	4.754300e+01
1.100000	4.828900e+01
1.600000	4.995900e+01
2.100000	5.169000e+01
2.600000	5.430200e+01
3.100000	5.708100e+01
3.600000	5.977400e+01
4.100000	6.364500e+01
4.600000	6.648800e+01
5.100000	7.005200e+01
5.600000	7.376700e+01
6.100000	7.759300e+01
6.600000	8.083100e+01
7.100000	8.439900e+01
7.600000	8.775600e+01
8.100000	9.047900e+01
8.600000	9.361200e+01
9.100000	9.625000e+01
9.600000	9.887600e+01
10.000000	1.010530e+02
11.000000	1.040570e+02
12.000000	1.071070e+02
13.000000	1.096110e+02
14.000000	1.101830e+02
15.000000	1.112940e+02
16.000000	1.110260e+02
17.000000	1.107780e+02
18.000000	1.100420e+02
19.000000	1.079330e+02
20.000000	1.073300e+02
21.000000	1.054700e+02
22.000000	1.041890e+02
23.000000	1.019510e+02
24.000000	1.005700e+02
25.000000	9.803900e+01
26.000000	9.640000e+01
27.000000	9.419000e+01
28.000000	9.224600e+01
29.000000	9.058900e+01
30.000000	8.836700e+01
31.000000	8.635200e+01
32.000000	8.458500e+01
33.000000	8.287400e+01
34.000000	8.101100e+01
35.000000	7.920800e+01
36.000000	7.771600e+01
37.000000	7.602900e+01
38.000000	7.462900e+01
39.000000	7.305700e+01
40.000000	7.130000e+01
