# P(GeV)	Gamma(MeV)
0.100000	2.958000e+00
0.600000	3.009000e+00
1.100000	3.085000e+00
1.600000	3.228000e+00
2.100000	3.417000e+00
2.600000	3.667000e+00
3.100000	3.937000e+00
3.600000	4.280000e+00
4.100000	4.648000e+00
4.600000	5.068000e+00
5.100000	5.531000e+00
5.600000	5.970000e+00
6.100000	6.495000e+00
6.600000	6.967000e+00
7.100000	7.515000e+00
7.600000	8.079000e+00
8.100000	8.622000e+00
8.600000	9.207000e+00
9.100000	9.768000e+00
9.600000	1.036400e+01
10.000000	1.081600e+01
11.000000	1.190200e+01
12.000000	1.306300e+01
13.000000	1.407800e+01
14.000000	1.515800e+01
15.000000	1.612700e+01
16.000000	1.701500e+01
17.000000	1.797200e+01
18.000000	1.880400e+01
19.000000	1.956800e+01
20.000000	2.030400e+01
21.000000	2.096800e+01
22.000000	2.168800e+01
23.000000	2.229300e+01
24.000000	2.288500e+01
25.000000	2.341600e+01
26.000000	2.395800e+01
27.000000	2.441900e+01
28.000000	2.488900e+01
29.000000	2.522200e+01
30.000000	2.570300e+01
31.000000	2.609300e+01
32.000000	2.649300e+01
33.000000	2.690600e+01
34.000000	2.701500e+01
35.000000	2.751700e+01
36.000000	2.771500e+01
37.000000	2.800500e+01
38.000000	2.837100e+01
39.000000	2.862900e+01
40.000000	2.882100e+01
