# P(GeV)	Gamma(MeV)
0.100000	7.683780e+02
1.100000	7.642420e+02
2.100000	7.475550e+02
3.100000	7.313230e+02
4.100000	7.069970e+02
5.100000	6.830920e+02
6.100000	6.577940e+02
7.100000	6.180990e+02
8.100000	5.952270e+02
9.100000	5.625330e+02
10.000000	5.294350e+02
12.000000	4.800850e+02
14.000000	4.255080e+02
16.000000	3.886740e+02
18.000000	3.539380e+02
20.000000	3.243720e+02
22.000000	3.022930e+02
24.000000	2.783310e+02
26.000000	2.626090e+02
28.000000	2.441270e+02
30.000000	2.334180e+02
32.000000	2.205040e+02
34.000000	2.096400e+02
36.000000	2.015130e+02
38.000000	1.928960e+02
40.000000	1.863890e+02
