# P(GeV)	Gamma(MeV)
0.100000	4.863600e+02
0.600000	4.842970e+02
1.100000	4.857510e+02
1.600000	4.864050e+02
2.100000	4.832320e+02
2.600000	4.825740e+02
3.100000	4.806770e+02
3.600000	4.772280e+02
4.100000	4.748910e+02
4.600000	4.709850e+02
5.100000	4.690570e+02
5.600000	4.615980e+02
6.100000	4.591530e+02
6.600000	4.560500e+02
7.100000	4.500190e+02
7.600000	4.448980e+02
8.100000	4.393420e+02
8.600000	4.380700e+02
9.100000	4.283830e+02
9.600000	4.228900e+02
10.000000	4.182660e+02
11.000000	4.081020e+02
12.000000	3.940430e+02
13.000000	3.824240e+02
14.000000	3.715700e+02
15.000000	3.594220e+02
16.000000	3.487900e+02
17.000000	3.391420e+02
18.000000	3.301090e+02
19.000000	3.200690e+02
20.000000	3.103920e+02
21.000000	3.037410e+02
22.000000	2.948390e+02
23.000000	2.882610e+02
24.000000	2.808900e+02
25.000000	2.742200e+02
26.000000	2.679740e+02
27.000000	2.618230e+02
28.000000	2.568020e+02
29.000000	2.503660e+02
30.000000	2.456210e+02
31.000000	2.413080e+02
32.000000	2.365300e+02
33.000000	2.326800e+02
34.000000	2.292340e+02
35.000000	2.249130e+02
36.000000	2.210890e+02
37.000000	2.184430e+02
38.000000	2.147240e+02
39.000000	2.116390e+02
40.000000	2.085340e+02
