# P(GeV)	Gamma(MeV)
0.100000	8.662400e+01
0.600000	8.688000e+01
1.100000	8.766200e+01
1.600000	8.858900e+01
2.100000	9.004600e+01
2.600000	9.197000e+01
3.100000	9.392900e+01
3.600000	9.647900e+01
4.100000	9.888900e+01
4.600000	1.014840e+02
5.100000	1.042580e+02
5.600000	1.074890e+02
6.100000	1.106060e+02
6.600000	1.138850e+02
7.100000	1.165630e+02
7.600000	1.197860e+02
8.100000	1.233110e+02
8.600000	1.261650e+02
9.100000	1.288700e+02
9.600000	1.320060e+02
10.000000	1.345500e+02
11.000000	1.397220e+02
12.000000	1.452530e+02
13.000000	1.499660e+02
14.000000	1.548970e+02
15.000000	1.591050e+02
16.000000	1.632540e+02
17.000000	1.670200e+02
18.000000	1.703600e+02
19.000000	1.734340e+02
20.000000	1.765290e+02
21.000000	1.789590e+02
22.000000	1.822480e+02
23.000000	1.846520e+02
24.000000	1.870670e+02
25.000000	1.888810e+02
26.000000	1.923240e+02
27.000000	1.933570e+02
28.000000	1.951350e+02
29.000000	1.966900e+02
30.000000	1.989930e+02
31.000000	2.002950e+02
32.000000	2.016190e+02
33.000000	2.027380e+02
34.000000	2.042340e+02
35.000000	2.057350e+02
36.000000	2.066320e+02
37.000000	2.084320e+02
38.000000	2.090470e+02
39.000000	2.100990e+02
40.000000	2.111220e+02
