# P(GeV)	Gamma(MeV)
0.100000	1.003320e+03
1.100000	9.963080e+02
2.100000	9.722090e+02
3.100000	9.476280e+02
4.100000	8.995740e+02
5.100000	8.651930e+02
6.100000	8.122660e+02
7.100000	7.681230e+02
8.100000	7.149010e+02
9.100000	6.790390e+02
10.000000	6.349420e+02
12.000000	5.642710e+02
14.000000	5.010010e+02
16.000000	4.438820e+02
18.000000	4.015210e+02
20.000000	3.650250e+02
22.000000	3.343490e+02
24.000000	3.112170e+02
26.000000	2.867820e+02
28.000000	2.710410e+02
30.000000	2.513590e+02
32.000000	2.397310e+02
34.000000	2.313750e+02
36.000000	2.213410e+02
38.000000	2.123640e+02
40.000000	2.055340e+02
