# P(GeV)	Gamma(MeV)
0.100000	1.173061e+03
0.600000	1.169716e+03
1.100000	1.161275e+03
1.600000	1.145838e+03
2.100000	1.135112e+03
2.600000	1.115543e+03
3.100000	1.094527e+03
3.600000	1.065808e+03
4.100000	1.041857e+03
4.600000	1.014668e+03
5.100000	9.849490e+02
5.600000	9.562280e+02
6.100000	9.271370e+02
6.600000	9.002940e+02
7.100000	8.692200e+02
7.600000	8.385000e+02
8.100000	8.105680e+02
8.600000	7.838170e+02
9.100000	7.571240e+02
9.600000	7.329760e+02
10.000000	7.129350e+02
11.000000	6.681080e+02
12.000000	6.266120e+02
13.000000	5.877050e+02
14.000000	5.537800e+02
15.000000	5.228890e+02
16.000000	4.946150e+02
17.000000	4.689600e+02
18.000000	4.479800e+02
19.000000	4.262510e+02
20.000000	4.081920e+02
21.000000	3.921840e+02
22.000000	3.753470e+02
23.000000	3.615480e+02
24.000000	3.482590e+02
25.000000	3.374750e+02
26.000000	3.259110e+02
27.000000	3.158700e+02
28.000000	3.082230e+02
29.000000	2.993330e+02
30.000000	2.912320e+02
31.000000	2.877910e+02
32.000000	2.779360e+02
33.000000	2.717320e+02
34.000000	2.668700e+02
35.000000	2.614580e+02
36.000000	2.545290e+02
37.000000	2.514520e+02
38.000000	2.477180e+02
39.000000	2.398410e+02
40.000000	2.370800e+02
