# P(GeV)	Gamma(MeV)
0.100000	1.889130e+02
0.600000	1.885840e+02
1.100000	1.889290e+02
1.600000	1.890030e+02
2.100000	1.906490e+02
2.600000	1.910680e+02
3.100000	1.920230e+02
3.600000	1.929110e+02
4.100000	1.942530e+02
4.600000	1.954640e+02
5.100000	1.973580e+02
5.600000	1.984390e+02
6.100000	1.998420e+02
6.600000	2.012500e+02
7.100000	2.023700e+02
7.600000	2.039390e+02
8.100000	2.062010e+02
8.600000	2.073850e+02
9.100000	2.089010e+02
9.600000	2.099590e+02
10.000000	2.115160e+02
11.000000	2.142490e+02
12.000000	2.166070e+02
13.000000	2.188100e+02
14.000000	2.209960e+02
15.000000	2.231740e+02
16.000000	2.251080e+02
17.000000	2.270580e+02
18.000000	2.289110e+02
19.000000	2.306090e+02
20.000000	2.323060e+02
21.000000	2.333700e+02
22.000000	2.346310e+02
23.000000	2.356920e+02
24.000000	2.367480e+02
25.000000	2.380720e+02
26.000000	2.383800e+02
27.000000	2.392220e+02
28.000000	2.406480e+02
29.000000	2.414040e+02
30.000000	2.422530e+02
31.000000	2.416890e+02
32.000000	2.441730e+02
33.000000	2.421850e+02
34.000000	2.453240e+02
35.000000	2.439760e+02
36.000000	2.469450e+02
37.000000	2.436830e+02
38.000000	2.437260e+02
39.000000	2.464590e+02
40.000000	2.472850e+02
