# P(GeV)	Gamma(MeV)
0.100000	1.698080e+02
1.100000	1.715430e+02
2.100000	1.731680e+02
3.100000	1.789840e+02
4.100000	1.849560e+02
5.100000	1.910660e+02
6.100000	1.965190e+02
7.100000	2.016320e+02
8.100000	2.054760e+02
9.100000	2.062730e+02
10.000000	2.063120e+02
12.000000	2.030120e+02
14.000000	1.979020e+02
16.000000	1.916000e+02
18.000000	1.831120e+02
20.000000	1.756080e+02
22.000000	1.679260e+02
24.000000	1.601510e+02
26.000000	1.531680e+02
28.000000	1.455210e+02
30.000000	1.407170e+02
32.000000	1.348100e+02
34.000000	1.285940e+02
36.000000	1.236050e+02
38.000000	1.191990e+02
40.000000	1.169680e+02
