# P(GeV)	Gamma(MeV)
0.100000	1.126270e+03
1.100000	1.117500e+03
2.100000	1.111330e+03
3.100000	1.102470e+03
4.100000	1.096380e+03
5.100000	1.073020e+03
6.100000	1.046350e+03
7.100000	1.024010e+03
8.100000	1.000000e+03
9.100000	9.697710e+02
10.000000	9.332340e+02
12.000000	8.756230e+02
14.000000	8.118060e+02
16.000000	7.576990e+02
18.000000	7.052330e+02
20.000000	6.658880e+02
22.000000	6.236800e+02
24.000000	5.859190e+02
26.000000	5.544870e+02
28.000000	5.217730e+02
30.000000	5.002100e+02
32.000000	4.778650e+02
34.000000	4.638740e+02
36.000000	4.414770e+02
38.000000	4.280980e+02
40.000000	4.023760e+02
