# P(GeV)	Gamma(MeV)
0.100000	1.403490e+02
1.100000	1.401620e+02
2.100000	1.415240e+02
3.100000	1.420870e+02
4.100000	1.434560e+02
5.100000	1.446950e+02
6.100000	1.464020e+02
7.100000	1.475440e+02
8.100000	1.487610e+02
9.100000	1.497520e+02
10.000000	1.502900e+02
12.000000	1.496420e+02
14.000000	1.489550e+02
16.000000	1.474000e+02
18.000000	1.446280e+02
20.000000	1.403580e+02
22.000000	1.365980e+02
24.000000	1.331480e+02
26.000000	1.312270e+02
28.000000	1.263880e+02
30.000000	1.218480e+02
32.000000	1.197210e+02
34.000000	1.162800e+02
36.000000	1.126440e+02
38.000000	1.101800e+02
40.000000	1.082940e+02
