# P(GeV)	Gamma(MeV)
0.100000	8.105150e+02
1.100000	8.103350e+02
2.100000	8.010880e+02
3.100000	7.946250e+02
4.100000	7.741930e+02
5.100000	7.502890e+02
6.100000	7.267400e+02
7.100000	7.039230e+02
8.100000	6.758820e+02
9.100000	6.453710e+02
10.000000	6.177730e+02
12.000000	5.678920e+02
14.000000	5.088780e+02
16.000000	4.624940e+02
18.000000	4.259560e+02
20.000000	3.870520e+02
22.000000	3.573970e+02
24.000000	3.235600e+02
26.000000	3.040030e+02
28.000000	2.819410e+02
30.000000	2.638950e+02
32.000000	2.460190e+02
34.000000	2.298260e+02
36.000000	2.154130e+02
38.000000	2.085800e+02
40.000000	1.972850e+02
