# P(GeV)	Gamma(MeV)
0.100000	1.693300e+03
1.100000	1.687820e+03
2.100000	1.666720e+03
3.100000	1.627150e+03
4.100000	1.592580e+03
5.100000	1.550080e+03
6.100000	1.495330e+03
7.100000	1.438170e+03
8.100000	1.381710e+03
9.100000	1.318990e+03
10.000000	1.269980e+03
12.000000	1.166340e+03
14.000000	1.069220e+03
16.000000	9.856360e+02
18.000000	9.158460e+02
20.000000	8.472800e+02
22.000000	7.873570e+02
24.000000	7.371580e+02
26.000000	6.945350e+02
28.000000	6.644680e+02
30.000000	6.244800e+02
32.000000	5.948240e+02
34.000000	5.683610e+02
36.000000	5.419740e+02
38.000000	5.253770e+02
40.000000	5.029970e+02
