# P(GeV)	Gamma(MeV)
0.100000	1.269480e+02
1.100000	1.273250e+02
2.100000	1.289480e+02
3.100000	1.304640e+02
4.100000	1.331530e+02
5.100000	1.337060e+02
6.100000	1.346450e+02
7.100000	1.352900e+02
8.100000	1.339070e+02
9.100000	1.309310e+02
10.000000	1.267910e+02
12.000000	1.184820e+02
14.000000	1.088510e+02
16.000000	1.011300e+02
18.000000	9.269110e+01
20.000000	8.590600e+01
22.000000	7.967030e+01
24.000000	7.409920e+01
26.000000	6.921740e+01
28.000000	6.491510e+01
30.000000	6.010210e+01
32.000000	5.569370e+01
34.000000	5.281810e+01
36.000000	4.980400e+01
38.000000	4.701870e+01
40.000000	4.453870e+01
