# P(GeV)	Gamma(MeV)
0.100000	1.203820e+01
1.100000	1.204790e+01
2.100000	1.229750e+01
3.100000	1.254900e+01
4.100000	1.294790e+01
5.100000	1.344300e+01
6.100000	1.379600e+01
7.100000	1.414550e+01
8.100000	1.440530e+01
9.100000	1.452360e+01
10.000000	1.448780e+01
12.000000	1.426700e+01
14.000000	1.373070e+01
16.000000	1.321450e+01
18.000000	1.264490e+01
20.000000	1.192720e+01
22.000000	1.137630e+01
24.000000	1.093720e+01
26.000000	1.021120e+01
28.000000	1.029370e+01
30.000000	9.384220e+00
32.000000	9.291610e+00
34.000000	8.769540e+00
36.000000	8.078600e+00
38.000000	7.666410e+00
40.000000	7.760470e+00
