# P(GeV)	Gamma(MeV)
0.100000	9.431260e+01
1.100000	9.424430e+01
2.100000	9.349000e+01
3.100000	9.310410e+01
4.100000	9.233920e+01
5.100000	9.193420e+01
6.100000	9.124830e+01
7.100000	9.112870e+01
8.100000	8.958700e+01
9.100000	8.983310e+01
10.000000	8.874720e+01
12.000000	8.741070e+01
14.000000	8.573010e+01
16.000000	8.470960e+01
18.000000	8.320230e+01
20.000000	8.031040e+01
22.000000	7.802750e+01
24.000000	7.650640e+01
26.000000	7.542900e+01
28.000000	7.313550e+01
30.000000	7.078740e+01
32.000000	7.002670e+01
34.000000	6.914260e+01
36.000000	6.700490e+01
38.000000	6.924970e+01
40.000000	6.628180e+01
