# P(GeV)	Gamma(MeV)
0.100000	8.289980e+02
1.100000	8.188100e+02
2.100000	8.101810e+02
3.100000	7.915390e+02
4.100000	7.627070e+02
5.100000	7.247420e+02
6.100000	6.909400e+02
7.100000	6.512570e+02
8.100000	6.096770e+02
9.100000	5.683940e+02
10.000000	5.350760e+02
12.000000	4.580150e+02
14.000000	3.947210e+02
16.000000	3.397450e+02
18.000000	2.918030e+02
20.000000	2.567940e+02
22.000000	2.256860e+02
24.000000	1.989010e+02
26.000000	1.753750e+02
28.000000	1.565250e+02
30.000000	1.453570e+02
32.000000	1.301060e+02
34.000000	1.173350e+02
36.000000	1.069990e+02
38.000000	9.928380e+01
40.000000	9.833670e+01
