# P(GeV)	Gamma(MeV)
0.100000	1.334290e+02
1.100000	1.329670e+02
2.100000	1.326370e+02
3.100000	1.304480e+02
4.100000	1.289170e+02
5.100000	1.266450e+02
6.100000	1.238560e+02
7.100000	1.203360e+02
8.100000	1.157160e+02
9.100000	1.108240e+02
10.000000	1.062510e+02
12.000000	9.515010e+01
14.000000	8.512190e+01
16.000000	7.553820e+01
18.000000	6.663190e+01
20.000000	6.061110e+01
22.000000	5.423220e+01
24.000000	4.874680e+01
26.000000	4.552500e+01
28.000000	4.022180e+01
30.000000	3.723630e+01
32.000000	3.268010e+01
34.000000	3.159040e+01
36.000000	3.073740e+01
38.000000	2.856540e+01
40.000000	2.666790e+01
