# P(GeV)	Gamma(MeV)
0.100000	5.517440e+02
1.100000	5.457920e+02
2.100000	5.374460e+02
3.100000	5.283560e+02
4.100000	5.173520e+02
5.100000	4.964010e+02
6.100000	4.744460e+02
7.100000	4.585530e+02
8.100000	4.345460e+02
9.100000	4.154300e+02
10.000000	3.986830e+02
12.000000	3.614700e+02
14.000000	3.284490e+02
16.000000	2.989670e+02
18.000000	2.763180e+02
20.000000	2.628910e+02
22.000000	2.405670e+02
24.000000	2.277880e+02
26.000000	2.172550e+02
28.000000	2.096730e+02
30.000000	1.973550e+02
32.000000	1.884490e+02
34.000000	1.839680e+02
36.000000	1.766350e+02
38.000000	1.697470e+02
40.000000	1.673320e+02
