# T(MeV)	Gamma(MeV)
170.0	6.884000e-03
175.0	1.272500e-02
180.0	2.273900e-02
185.0	3.984500e-02
190.0	6.759100e-02
195.0	1.120250e-01
200.0	1.821190e-01
205.0	2.905980e-01
210.0	4.562360e-01
215.0	7.063630e-01
220.0	1.020952e+00
225.0	1.440681e+00
230.0	2.015827e+00
235.0	2.799585e+00
240.0	3.862885e+00
245.0	5.084105e+00
250.0	6.255676e+00
255.0	7.662770e+00
260.0	9.347319e+00
265.0	1.135731e+01
270.0	1.374738e+01
275.0	1.592718e+01
280.0	1.839298e+01
285.0	2.117379e+01
290.0	2.429902e+01
295.0	2.779955e+01
300.0	3.170603e+01
305.0	3.604873e+01
310.0	4.085580e+01
315.0	4.615227e+01
320.0	5.025506e+01
325.0	5.459275e+01
330.0	5.916471e+01
335.0	6.396740e+01
340.0	6.899559e+01
345.0	7.424054e+01
350.0	7.969180e+01
355.0	8.533437e+01
360.0	9.115175e+01
365.0	9.474823e+01
370.0	9.837893e+01
375.0	1.020390e+02
380.0	1.057252e+02
385.0	1.094344e+02
390.0	1.131615e+02
395.0	1.169036e+02
400.0	1.206573e+02
405.0	1.244188e+02
410.0	1.281847e+02
415.0	1.319521e+02
420.0	1.357175e+02
425.0	1.394780e+02
430.0	1.432315e+02
435.0	1.469747e+02
440.0	1.507051e+02
445.0	1.544218e+02
450.0	1.581213e+02
455.0	1.618025e+02
460.0	1.654645e+02
465.0	1.691052e+02
470.0	1.727236e+02
475.0	1.763196e+02
480.0	1.798917e+02
485.0	1.834400e+02
490.0	1.869643e+02
495.0	1.904640e+02
500.0	1.939397e+02
505.0	1.973920e+02
510.0	2.008204e+02
515.0	2.042262e+02
520.0	2.076103e+02
525.0	2.109727e+02
530.0	2.143149e+02
535.0	2.176388e+02
540.0	2.209442e+02
545.0	2.234102e+02
550.0	2.258706e+02
555.0	2.283252e+02
560.0	2.307743e+02
565.0	2.332182e+02
570.0	2.356569e+02
575.0	2.380908e+02
580.0	2.405196e+02
585.0	2.429441e+02
590.0	2.453645e+02
595.0	2.477800e+02
600.0	2.501918e+02
605.0	2.525996e+02
610.0	2.550034e+02
615.0	2.574041e+02
620.0	2.598013e+02
625.0	2.621954e+02
630.0	2.645865e+02
635.0	2.669749e+02
640.0	2.693606e+02
645.0	2.717440e+02
650.0	2.741251e+02
655.0	2.765041e+02
660.0	2.788813e+02
665.0	2.812567e+02
670.0	2.836305e+02
675.0	2.860027e+02
680.0	2.883740e+02
685.0	2.907438e+02
690.0	2.931122e+02
695.0	2.954795e+02
700.0	2.978458e+02
705.0	3.002109e+02
710.0	3.025751e+02
715.0	3.049381e+02
720.0	3.073000e+02
