# P(GeV)	Gamma(MeV)
0.000000	2.480087e+01
0.200000	2.480087e+01
2.200000	2.377209e+01
4.200000	2.242589e+01
6.200000	2.032697e+01
8.200000	1.837898e+01
10.200000	1.625930e+01
12.200000	1.416989e+01
14.200000	1.217636e+01
16.200000	1.050113e+01
18.200000	9.250925e+00
20.000000	7.896991e+00
24.000000	5.867500e+00
28.000000	4.949531e+00
32.000000	4.244861e+00
36.000000	3.605048e+00
40.000000	2.815189e+00
44.000000	2.690287e+00
48.000000	1.413237e+00
52.000000	1.949508e+00
56.000000	8.032536e-01
60.000000	9.332950e-01
64.000000	2.397303e+00
68.000000	1.744246e+00
72.000000	2.163688e-01
76.000000	2.107734e-01
80.000000	1.426707e-01
