# P(GeV)	Gamma(MeV)
0.100000	8.077820e+00
1.100000	8.155350e+00
2.100000	8.395510e+00
3.100000	8.802660e+00
4.100000	9.288240e+00
5.100000	9.793460e+00
6.100000	1.038640e+01
7.100000	1.104600e+01
8.100000	1.166660e+01
9.100000	1.211690e+01
10.000000	1.251920e+01
12.000000	1.330750e+01
14.000000	1.388340e+01
16.000000	1.402570e+01
18.000000	1.433730e+01
20.000000	1.451890e+01
22.000000	1.399900e+01
24.000000	1.446800e+01
26.000000	1.420660e+01
28.000000	1.416280e+01
30.000000	1.380170e+01
32.000000	1.313760e+01
34.000000	1.381390e+01
36.000000	1.341770e+01
38.000000	1.308920e+01
40.000000	1.290050e+01
