# P(GeV)	Gamma(MeV)
0.100000	2.992830e+01
1.100000	3.012073e+01
2.100000	3.078126e+01
3.100000	3.171426e+01
4.100000	3.299594e+01
5.100000	3.443461e+01
6.100000	3.650911e+01
7.100000	3.776631e+01
8.100000	3.980495e+01
9.100000	4.137858e+01
10.000000	4.348704e+01
12.000000	4.667846e+01
14.000000	4.882598e+01
16.000000	5.254511e+01
18.000000	5.419388e+01
20.000000	5.898735e+01
22.000000	5.668199e+01
24.000000	6.143629e+01
26.000000	6.947823e+01
28.000000	6.925206e+01
30.000000	7.458983e+01
32.000000	8.560235e+01
34.000000	9.254664e+01
36.000000	9.757554e+01
38.000000	8.856026e+01
40.000000	1.020804e+02
