# P(GeV)	Gamma(MeV)
0.100000	8.315330e+00
1.100000	8.399690e+00
2.100000	8.681450e+00
3.100000	9.040410e+00
4.100000	9.580720e+00
5.100000	1.011840e+01
6.100000	1.079070e+01
7.100000	1.139290e+01
8.100000	1.213810e+01
9.100000	1.270690e+01
10.000000	1.325890e+01
12.000000	1.416340e+01
14.000000	1.484690e+01
16.000000	1.554000e+01
18.000000	1.608040e+01
20.000000	1.624090e+01
22.000000	1.714070e+01
24.000000	1.772920e+01
26.000000	1.812730e+01
28.000000	1.826930e+01
30.000000	1.960800e+01
32.000000	2.097660e+01
34.000000	2.187640e+01
36.000000	2.192390e+01
38.000000	2.160800e+01
40.000000	2.233740e+01
