# P(GeV)	Gamma(MeV)
0.000000	1.857961e+02
0.200000	1.857961e+02
2.200000	1.826164e+02
4.200000	1.698361e+02
6.200000	1.541071e+02
8.200000	1.402628e+02
10.200000	1.239122e+02
12.200000	1.101272e+02
14.200000	9.539821e+01
16.200000	8.441943e+01
18.200000	7.453328e+01
20.000000	6.849553e+01
24.000000	5.767959e+01
28.000000	4.550914e+01
32.000000	3.983115e+01
36.000000	3.719378e+01
40.000000	3.475775e+01
44.000000	3.183751e+01
48.000000	3.202775e+01
52.000000	2.576820e+01
56.000000	1.848425e+01
60.000000	2.776383e+01
64.000000	1.872725e+01
68.000000	2.859881e+01
72.000000	1.962398e+01
76.000000	1.384279e+01
80.000000	1.101027e+01
