# P(GeV)	Gamma(MeV)
0.100000	2.231199e+02
1.100000	2.235959e+02
2.100000	2.268185e+02
3.100000	2.307971e+02
4.100000	2.364234e+02
5.100000	2.438483e+02
6.100000	2.521154e+02
7.100000	2.622415e+02
8.100000	2.718507e+02
9.100000	2.826248e+02
10.000000	2.933637e+02
12.000000	3.143606e+02
14.000000	3.398557e+02
16.000000	3.628908e+02
18.000000	3.868742e+02
20.000000	4.016641e+02
22.000000	4.228926e+02
24.000000	4.531769e+02
26.000000	4.578074e+02
28.000000	4.820273e+02
30.000000	5.434412e+02
32.000000	5.725099e+02
34.000000	5.660656e+02
36.000000	6.201178e+02
38.000000	7.025664e+02
40.000000	7.516634e+02
