# P(GeV)	Gamma(MeV)
0.100000	1.527300e+02
1.100000	1.521320e+02
2.100000	1.532400e+02
3.100000	1.557310e+02
4.100000	1.572160e+02
5.100000	1.598130e+02
6.100000	1.619760e+02
7.100000	1.649780e+02
8.100000	1.679870e+02
9.100000	1.695420e+02
10.000000	1.724320e+02
12.000000	1.777920e+02
14.000000	1.817640e+02
16.000000	1.876610e+02
18.000000	1.906030e+02
20.000000	1.980560e+02
22.000000	2.018530e+02
24.000000	2.045040e+02
26.000000	2.145880e+02
28.000000	2.224330e+02
30.000000	2.244780e+02
32.000000	2.326140e+02
34.000000	2.571370e+02
36.000000	2.711120e+02
38.000000	2.689720e+02
40.000000	3.150140e+02
