# P(GeV)	Gamma(MeV)
0.000000	1.155318e+02
0.200000	1.155318e+02
2.200000	1.107394e+02
4.200000	1.044683e+02
6.200000	9.469072e+01
8.200000	8.561626e+01
10.200000	7.574195e+01
12.200000	6.600871e+01
14.200000	5.672210e+01
16.200000	4.891825e+01
18.200000	4.309430e+01
20.000000	3.678717e+01
24.000000	2.733303e+01
28.000000	2.305678e+01
32.000000	1.977417e+01
36.000000	1.679368e+01
40.000000	1.311421e+01
44.000000	1.253237e+01
48.000000	6.583391e+00
52.000000	9.081546e+00
56.000000	3.741859e+00
60.000000	4.347641e+00
64.000000	1.116754e+01
68.000000	8.125357e+00
72.000000	1.007928e+00
76.000000	9.818620e-01
80.000000	6.646140e-01
