# P(GeV)	Gamma(MeV)
0.100000	1.210310e+02
1.100000	1.208550e+02
2.100000	1.209930e+02
3.100000	1.217000e+02
4.100000	1.222480e+02
5.100000	1.225760e+02
6.100000	1.220890e+02
7.100000	1.224330e+02
8.100000	1.208420e+02
9.100000	1.206050e+02
10.000000	1.182230e+02
12.000000	1.141550e+02
14.000000	1.086180e+02
16.000000	1.018500e+02
18.000000	9.509100e+01
20.000000	8.999740e+01
22.000000	8.538840e+01
24.000000	8.022660e+01
26.000000	7.585270e+01
28.000000	7.191420e+01
30.000000	6.666700e+01
32.000000	6.319980e+01
34.000000	6.065200e+01
36.000000	5.878190e+01
38.000000	5.642000e+01
40.000000	5.154180e+01
