# P(GeV)	Gamma(MeV)
0.100000	1.394173e+02
1.100000	1.403137e+02
2.100000	1.433907e+02
3.100000	1.477370e+02
4.100000	1.537076e+02
5.100000	1.604094e+02
6.100000	1.700733e+02
7.100000	1.759298e+02
8.100000	1.854265e+02
9.100000	1.927571e+02
10.000000	2.025791e+02
12.000000	2.174459e+02
14.000000	2.274499e+02
16.000000	2.447750e+02
18.000000	2.524556e+02
20.000000	2.747854e+02
22.000000	2.640461e+02
24.000000	2.861935e+02
26.000000	3.236559e+02
28.000000	3.226023e+02
30.000000	3.474676e+02
32.000000	3.987681e+02
34.000000	4.311173e+02
36.000000	4.545438e+02
38.000000	4.125472e+02
40.000000	4.755289e+02
