# P(GeV)	Gamma(MeV)
0.100000	1.339230e+02
1.100000	1.348020e+02
2.100000	1.350230e+02
3.100000	1.359210e+02
4.100000	1.372390e+02
5.100000	1.384360e+02
6.100000	1.393230e+02
7.100000	1.411430e+02
8.100000	1.416500e+02
9.100000	1.427830e+02
10.000000	1.430040e+02
12.000000	1.436960e+02
14.000000	1.414940e+02
16.000000	1.398130e+02
18.000000	1.395640e+02
20.000000	1.380520e+02
22.000000	1.427820e+02
24.000000	1.354080e+02
26.000000	1.390460e+02
28.000000	1.371360e+02
30.000000	1.442910e+02
32.000000	1.487630e+02
34.000000	1.601640e+02
36.000000	1.727050e+02
38.000000	1.706630e+02
40.000000	1.846380e+02
