# P(GeV)	Gamma(MeV)
0.000000	6.512693e+02
0.200000	6.512693e+02
2.200000	6.401234e+02
4.200000	5.953248e+02
6.200000	5.401902e+02
8.200000	4.916620e+02
10.200000	4.343484e+02
12.200000	3.860280e+02
14.200000	3.343985e+02
16.200000	2.959147e+02
18.200000	2.612608e+02
20.000000	2.400968e+02
24.000000	2.021837e+02
28.000000	1.595228e+02
32.000000	1.396198e+02
36.000000	1.303750e+02
40.000000	1.218360e+02
44.000000	1.115997e+02
48.000000	1.122666e+02
52.000000	9.032503e+01
56.000000	6.479268e+01
60.000000	9.732030e+01
64.000000	6.564445e+01
68.000000	1.002471e+02
72.000000	6.878776e+01
76.000000	4.852301e+01
80.000000	3.859420e+01
