# P(GeV)	Gamma(MeV)
0.100000	6.017640e+02
1.100000	6.035590e+02
2.100000	5.978210e+02
3.100000	5.949370e+02
4.100000	5.869630e+02
5.100000	5.778430e+02
6.100000	5.729780e+02
7.100000	5.576730e+02
8.100000	5.513110e+02
9.100000	5.351080e+02
10.000000	5.257320e+02
12.000000	4.999550e+02
14.000000	4.723270e+02
16.000000	4.419770e+02
18.000000	4.214080e+02
20.000000	4.002550e+02
22.000000	3.774510e+02
24.000000	3.565460e+02
26.000000	3.371650e+02
28.000000	3.257050e+02
30.000000	3.180310e+02
32.000000	3.044470e+02
34.000000	3.016190e+02
36.000000	2.885720e+02
38.000000	2.852770e+02
40.000000	2.801530e+02
