# P(GeV)	Gamma(MeV)
0.100000	7.821003e+02
1.100000	7.837687e+02
2.100000	7.950646e+02
3.100000	8.090110e+02
4.100000	8.287328e+02
5.100000	8.547593e+02
6.100000	8.837379e+02
7.100000	9.192329e+02
8.100000	9.529157e+02
9.100000	9.906822e+02
10.000000	1.028325e+03
12.000000	1.101925e+03
14.000000	1.191293e+03
16.000000	1.272038e+03
18.000000	1.356107e+03
20.000000	1.407949e+03
22.000000	1.482361e+03
24.000000	1.588517e+03
26.000000	1.604748e+03
28.000000	1.689646e+03
30.000000	1.904919e+03
32.000000	2.006814e+03
34.000000	1.984225e+03
36.000000	2.173693e+03
38.000000	2.462700e+03
40.000000	2.634799e+03
