# P(GeV)	Gamma(MeV)
0.100000	7.796980e+02
1.100000	7.809790e+02
2.100000	7.774600e+02
3.100000	7.811330e+02
4.100000	7.809670e+02
5.100000	7.838400e+02
6.100000	7.844130e+02
7.100000	7.893030e+02
8.100000	7.881770e+02
9.100000	7.930930e+02
10.000000	7.932260e+02
12.000000	8.070100e+02
14.000000	8.219310e+02
16.000000	8.319400e+02
18.000000	8.375130e+02
20.000000	8.340450e+02
22.000000	8.896150e+02
24.000000	8.839140e+02
26.000000	8.849770e+02
28.000000	9.996470e+02
30.000000	1.005070e+03
32.000000	9.898610e+02
34.000000	1.020590e+03
36.000000	1.066880e+03
38.000000	1.140510e+03
40.000000	1.188330e+03
