# P(GeV)	Gamma(MeV)
0.100000	1.020239e+02
0.350000	1.023577e+02
0.600000	1.027844e+02
0.850000	1.036324e+02
1.100000	1.047613e+02
1.350000	1.052807e+02
1.600000	1.053937e+02
1.850000	1.052398e+02
2.100000	1.049080e+02
2.350000	1.044970e+02
2.600000	1.040332e+02
2.850000	1.032432e+02
3.100000	1.022357e+02
3.350000	1.012541e+02
3.600000	1.002897e+02
3.850000	9.934834e+01
4.100000	9.842222e+01
4.350000	9.761510e+01
4.600000	9.688731e+01
4.850000	9.557948e+01
5.000000	9.456276e+01
6.000000	8.905615e+01
7.000000	8.316588e+01
8.000000	7.812258e+01
9.000000	7.239862e+01
10.000000	7.071859e+01
11.000000	6.601847e+01
12.000000	6.131835e+01
13.000000	6.006998e+01
14.000000	5.882161e+01
15.000000	5.738574e+01
16.000000	5.594986e+01
17.000000	5.489563e+01
18.000000	5.384140e+01
19.000000	5.338431e+01
20.000000	5.292722e+01
