# P(GeV)	Gamma(MeV)
0.100000	8.075930e+01
0.350000	8.030680e+01
0.600000	8.156840e+01
0.850000	8.227290e+01
1.100000	8.338080e+01
1.350000	8.440320e+01
1.600000	8.579510e+01
1.850000	8.787130e+01
2.100000	8.936720e+01
2.350000	9.128760e+01
2.600000	9.250850e+01
2.850000	9.451700e+01
3.100000	9.540260e+01
3.350000	9.725130e+01
3.600000	9.803230e+01
3.850000	9.908320e+01
4.100000	9.975520e+01
4.350000	1.002140e+02
4.600000	1.012390e+02
4.850000	1.012400e+02
5.000000	1.013810e+02
6.000000	9.941650e+01
7.000000	9.673440e+01
8.000000	9.211210e+01
9.000000	8.766260e+01
10.000000	8.221540e+01
11.000000	7.723790e+01
12.000000	7.278180e+01
13.000000	6.925890e+01
14.000000	6.479320e+01
15.000000	6.345020e+01
16.000000	6.066260e+01
17.000000	5.802000e+01
18.000000	5.552140e+01
19.000000	5.370100e+01
20.000000	5.248320e+01
