# P(GeV)	Gamma(MeV)
0.100000	1.308637e+02
0.350000	1.315987e+02
0.600000	1.327281e+02
0.850000	1.344208e+02
1.100000	1.369224e+02
1.350000	1.405140e+02
1.600000	1.429758e+02
1.850000	1.471209e+02
2.100000	1.504241e+02
2.350000	1.540576e+02
2.600000	1.600949e+02
2.850000	1.624146e+02
3.100000	1.666877e+02
3.350000	1.712297e+02
3.600000	1.750860e+02
3.850000	1.805946e+02
4.100000	1.830164e+02
4.350000	1.869441e+02
4.600000	1.893329e+02
4.850000	1.923131e+02
5.000000	1.939756e+02
6.000000	2.086438e+02
7.000000	2.130852e+02
8.000000	2.182571e+02
9.000000	2.272343e+02
10.000000	2.345338e+02
11.000000	2.361779e+02
12.000000	2.420070e+02
13.000000	2.387918e+02
14.000000	2.457684e+02
15.000000	2.607186e+02
16.000000	2.657325e+02
17.000000	2.736152e+02
18.000000	2.710387e+02
19.000000	2.754188e+02
20.000000	2.751581e+02
