# P(GeV)	Gamma(MeV)
0.100000	8.778630e+01
0.350000	8.888480e+01
0.600000	8.924370e+01
0.850000	9.035310e+01
1.100000	9.158990e+01
1.350000	9.340230e+01
1.600000	9.450780e+01
1.850000	9.713920e+01
2.100000	9.913520e+01
2.350000	1.012740e+02
2.600000	1.036470e+02
2.850000	1.055510e+02
3.100000	1.075690e+02
3.350000	1.101950e+02
3.600000	1.113770e+02
3.850000	1.135330e+02
4.100000	1.156950e+02
4.350000	1.165670e+02
4.600000	1.172980e+02
4.850000	1.190890e+02
5.000000	1.184130e+02
6.000000	1.225580e+02
7.000000	1.244460e+02
8.000000	1.243860e+02
9.000000	1.258700e+02
10.000000	1.231730e+02
11.000000	1.217240e+02
12.000000	1.228890e+02
13.000000	1.188870e+02
14.000000	1.155670e+02
15.000000	1.275140e+02
16.000000	1.274180e+02
17.000000	1.106310e+02
18.000000	1.348580e+02
19.000000	1.358090e+02
20.000000	1.316120e+02
