# P(GeV)	Gamma(MeV)
0.100000	4.398774e+02
0.350000	4.409774e+02
0.600000	4.421416e+02
0.850000	4.440891e+02
1.100000	4.465589e+02
1.350000	4.461789e+02
1.600000	4.438992e+02
1.850000	4.437085e+02
2.100000	4.449105e+02
2.350000	4.468013e+02
2.600000	4.491512e+02
2.850000	4.480032e+02
3.100000	4.445232e+02
3.350000	4.437227e+02
3.600000	4.447085e+02
3.850000	4.431661e+02
4.100000	4.399381e+02
4.350000	4.361299e+02
4.600000	4.319350e+02
4.850000	4.285999e+02
5.000000	4.269427e+02
6.000000	4.104638e+02
7.000000	3.985292e+02
8.000000	3.861762e+02
9.000000	3.732448e+02
10.000000	3.655947e+02
11.000000	3.574718e+02
12.000000	3.493490e+02
13.000000	3.433363e+02
14.000000	3.373236e+02
15.000000	3.342070e+02
16.000000	3.310903e+02
17.000000	3.286854e+02
18.000000	3.262804e+02
19.000000	3.254247e+02
20.000000	3.245690e+02
