# P(GeV)	Gamma(MeV)
0.100000	4.530500e+02
0.350000	4.541970e+02
0.600000	4.519640e+02
0.850000	4.489900e+02
1.100000	4.492060e+02
1.350000	4.446840e+02
1.600000	4.422040e+02
1.850000	4.396820e+02
2.100000	4.372590e+02
2.350000	4.324110e+02
2.600000	4.261670e+02
2.850000	4.245040e+02
3.100000	4.224450e+02
3.350000	4.165220e+02
3.600000	4.102170e+02
3.850000	4.092780e+02
4.100000	4.079350e+02
4.350000	4.005620e+02
4.600000	3.950790e+02
4.850000	3.905210e+02
5.000000	3.912620e+02
6.000000	3.699620e+02
7.000000	3.496210e+02
8.000000	3.294810e+02
9.000000	3.126730e+02
10.000000	2.964650e+02
11.000000	2.865710e+02
12.000000	2.714770e+02
13.000000	2.621400e+02
14.000000	2.499540e+02
15.000000	2.443520e+02
16.000000	2.408350e+02
17.000000	2.341570e+02
18.000000	2.265460e+02
19.000000	2.248580e+02
20.000000	2.189990e+02
