# P(GeV)	Gamma(MeV)
0.100000	5.839321e+02
0.350000	5.857365e+02
0.600000	5.869548e+02
0.850000	5.920470e+02
1.100000	5.933707e+02
1.350000	5.978492e+02
1.600000	6.042409e+02
1.850000	6.100154e+02
2.100000	6.170780e+02
2.350000	6.292074e+02
2.600000	6.349301e+02
2.850000	6.469212e+02
3.100000	6.580963e+02
3.350000	6.645675e+02
3.600000	6.767114e+02
3.850000	6.934224e+02
4.100000	7.044499e+02
4.350000	7.168329e+02
4.600000	7.251443e+02
4.850000	7.297564e+02
5.000000	7.439894e+02
6.000000	7.864783e+02
7.000000	8.269813e+02
8.000000	8.671299e+02
9.000000	8.976935e+02
10.000000	9.540892e+02
11.000000	9.732610e+02
12.000000	1.033105e+03
13.000000	1.065541e+03
14.000000	1.094157e+03
15.000000	1.120486e+03
16.000000	1.178841e+03
17.000000	1.202741e+03
18.000000	1.274508e+03
19.000000	1.364047e+03
20.000000	1.397018e+03
