# P(GeV)	Gamma(MeV)
0.100000	5.241490e+02
0.350000	5.215330e+02
0.600000	5.206970e+02
0.850000	5.191210e+02
1.100000	5.195840e+02
1.350000	5.168750e+02
1.600000	5.190930e+02
1.850000	5.166600e+02
2.100000	5.163030e+02
2.350000	5.134020e+02
2.600000	5.120060e+02
2.850000	5.117720e+02
3.100000	5.073040e+02
3.350000	5.108880e+02
3.600000	5.136040e+02
3.850000	5.099230e+02
4.100000	5.126830e+02
4.350000	5.134770e+02
4.600000	5.141310e+02
4.850000	5.126570e+02
5.000000	5.120810e+02
6.000000	5.176940e+02
7.000000	5.198620e+02
8.000000	5.271610e+02
9.000000	5.343920e+02
10.000000	5.345350e+02
11.000000	5.478000e+02
12.000000	5.579340e+02
13.000000	5.702140e+02
14.000000	5.655430e+02
15.000000	6.011990e+02
16.000000	6.042570e+02
17.000000	6.401700e+02
18.000000	6.449610e+02
19.000000	6.627250e+02
20.000000	6.741960e+02
