# P(GeV)	Gamma(MeV)
0.100000	4.420059e+02
0.350000	4.434523e+02
0.600000	4.453006e+02
0.850000	4.489745e+02
1.100000	4.538655e+02
1.350000	4.561156e+02
1.600000	4.566052e+02
1.850000	4.559385e+02
2.100000	4.545010e+02
2.350000	4.527204e+02
2.600000	4.507111e+02
2.850000	4.472884e+02
3.100000	4.429236e+02
3.350000	4.386709e+02
3.600000	4.344930e+02
3.850000	4.304145e+02
4.100000	4.264022e+02
4.350000	4.229054e+02
4.600000	4.197524e+02
4.850000	4.140864e+02
5.000000	4.096816e+02
6.000000	3.858248e+02
7.000000	3.603060e+02
8.000000	3.384565e+02
9.000000	3.136581e+02
10.000000	3.063796e+02
11.000000	2.860169e+02
12.000000	2.656542e+02
13.000000	2.602458e+02
14.000000	2.548374e+02
15.000000	2.486167e+02
16.000000	2.423959e+02
17.000000	2.378286e+02
18.000000	2.332612e+02
19.000000	2.312810e+02
20.000000	2.293007e+02
